month;year;precipitation;atmospheric_demand
12;1949;47.29999924;24.00000036
1;1950;16.89999962;24.00000036
2;1950;29.39999962;48.00000072
3;1950;62.40000153;75
4;1950;37.79999924;87.00000286
5;1950;107.0999985;120
6;1950;32;159.0000057
7;1950;24.70000076;182.9999971
8;1950;78.5;152.9999971
9;1950;26.30000114;102.0000029
10;1950;10.5;60
11;1950;28;36.00000143
12;1950;115.7000046;20.99999964
1;1951;86.40000153;18.00000072
2;1951;72.80000305;39.00000215
3;1951;113.7000046;63.00000429
4;1951;98.70000458;81.00000143
5;1951;107.5;98.99999857
6;1951;85.40000153;141.0000086
7;1951;38.29999924;171.0000086
8;1951;81.90000153;135
9;1951;94.5;98.99999857
10;1951;100;54.00000215
11;1951;87.5;27.00000107
12;1951;52.70000076;27.00000107
1;1952;29.10000038;18.00000072
2;1952;12.30000019;45
3;1952;95.30000305;72.00000286
4;1952;82.30000305;90
5;1952;74.59999847;126.0000086
6;1952;54;162.0000029
7;1952;103.9000015;171.0000086
8;1952;60.90000153;147.0000029
9;1952;37.20000076;98.99999857
10;1952;73.5;63.00000429
11;1952;39.29999924;33.00000072
12;1952;36.70000076;20.99999964
1;1953;3.900000095;24.00000036
2;1953;9;41.99999928
3;1953;33.79999924;68.99999857
4;1953;51.5;93.00000429
5;1953;22.10000038;129.0000057
6;1953;225.1999969;129.0000057
7;1953;30.89999962;159.0000057
8;1953;38.79999924;152.9999971
9;1953;72.5;105
10;1953;101.3000031;56.99999928
11;1953;8.600000381;39.00000215
12;1953;129.6999969;20.99999964
1;1954;17.89999962;20.99999964
2;1954;37.29999924;41.99999928
3;1954;143.6999969;66.00000143
4;1954;68.80000305;87.00000286
5;1954;116.4000015;111.0000014
6;1954;83.30000305;141.0000086
7;1954;52.10000229;162.0000029
8;1954;9;141.0000086
9;1954;32.29999924;98.99999857
10;1954;15.10000038;66.00000143
11;1954;43;36.00000143
12;1954;44.90000153;18.00000072
1;1955;123.5;27.00000107
2;1955;93.90000153;45
3;1955;31;72.00000286
4;1955;20.5;102.0000029
5;1955;40.5;126.0000086
6;1955;138.8000031;141.0000086
7;1955;71.20000458;167.9999971
8;1955;80.30000305;150
9;1955;50.90000153;96.00000143
10;1955;69.09999847;63.00000429
11;1955;47.60000229;33.00000072
12;1955;104.5999985;18.00000072
1;1956;46.70000076;20.99999964
2;1956;11.69999981;39.00000215
3;1956;163.6000061;66.00000143
4;1956;80.70000458;87.00000286
5;1956;144.1999969;117.0000029
6;1956;84.30000305;132.0000029
7;1956;22.5;165
8;1956;137.3000031;144.0000057
9;1956;112.3000031;98.99999857
10;1956;20.10000038;60
11;1956;43.5;27.00000107
12;1956;20.70000076;9.000000358
1;1957;8.199999809;24.00000036
2;1957;41.70000076;41.99999928
3;1957;38.60000229;68.99999857
4;1957;76.5;87.00000286
5;1957;151.5;108.0000043
6;1957;165.5;126.0000086
7;1957;14.5;159.0000057
8;1957;55.90000153;144.0000057
9;1957;34.90000153;102.0000029
10;1957;75.5;60
11;1957;40.10000229;27.00000107
12;1957;41;20.99999964
1;1958;65.5;18.00000072
2;1958;9.300000191;39.00000215
3;1958;49;68.99999857
4;1958;18.30000114;83.99999857
5;1958;32.20000076;122.9999971
6;1958;51.79999924;144.0000057
7;1958;59.70000076;162.0000029
8;1958;48;141.0000086
9;1958;68.20000458;105
10;1958;38;60
11;1958;40.10000229;27.00000107
12;1958;181.4000092;20.99999964
1;1959;10.30000019;24.00000036
2;1959;105.2000046;45
3;1959;167.6000061;60
4;1959;75.70000458;90
5;1959;93.09999847;105
6;1959;78.70000458;144.0000057
7;1959;62.70000076;174.0000057
8;1959;72.09999847;144.0000057
9;1959;190.1999969;90
10;1959;97.5;56.99999928
11;1959;133;30
12;1959;81.59999847;18.00000072
1;1960;94.30000305;24.00000036
2;1960;78.59999847;41.99999928
3;1960;141.1999969;63.00000429
4;1960;5.5;90
5;1960;76.70000458;129.0000057
6;1960;95.30000305;144.0000057
7;1960;110.8000031;159.0000057
8;1960;47.60000229;141.0000086
9;1960;95.20000458;96.00000143
10;1960;213.6999969;51.00000143
11;1960;48.40000153;27.00000107
12;1960;114;15
1;1961;49.29999924;18.00000072
2;1961;9.5;54.00000215
3;1961;25.70000076;75
4;1961;70.59999847;96.00000143
5;1961;93.20000458;126.0000086
6;1961;58.10000229;147.0000029
7;1961;24.70000076;165
8;1961;83.40000153;141.0000086
9;1961;94.80000305;113.9999986
10;1961;57.20000076;60
11;1961;164.6000061;27.00000107
12;1961;37.79999924;27.00000107
1;1962;97.30000305;27.00000107
2;1962;64.5;33.00000072
3;1962;69.70000458;54.00000215
4;1962;80.80000305;87.00000286
5;1962;63.5;108.0000043
6;1962;52.10000229;147.0000029
7;1962;26.10000038;167.9999971
8;1962;16.39999962;159.0000057
9;1962;101.5;108.0000043
10;1962;111.4000015;60
11;1962;104.0999985;18.00000072
12;1962;61.40000153;12.00000018
1;1963;94.40000153;9.000000358
2;1963;79.90000153;20.99999964
3;1963;26.60000038;66.00000143
4;1963;97.20000458;87.00000286
5;1963;40.40000153;111.0000014
6;1963;100;141.0000086
7;1963;57.29999924;171.0000086
8;1963;130.1000061;129.0000057
9;1963;131.6999969;87.00000286
10;1963;24.39999962;60
11;1963;120.9000015;41.99999928
12;1963;74.30000305;12.00000018
1;1964;5.800000191;12.00000018
2;1964;129.6000061;41.99999928
3;1964;71;63.00000429
4;1964;58.5;87.00000286
5;1964;92.70000458;137.9999971
6;1964;80.40000153;152.9999971
7;1964;45;182.9999971
8;1964;34.70000076;152.9999971
9;1964;96.5;111.0000014
10;1964;35;51.00000143
11;1964;78.59999847;30
12;1964;99.80000305;15
1;1965;46.5;20.99999964
2;1965;50.10000229;20.99999964
3;1965;81.40000153;68.99999857
4;1965;10.19999981;83.99999857
5;1965;42.90000153;122.9999971
6;1965;40;150
7;1965;36.70000076;165
8;1965;54.40000153;141.0000086
9;1965;100.7000046;83.99999857
10;1965;163.4000092;63.00000429
11;1965;111;33.00000072
12;1965;54.79999924;30
1;1966;76.20000458;27.00000107
2;1966;104.7000046;56.99999928
3;1966;8.600000381;63.00000429
4;1966;74.40000153;102.0000029
5;1966;68.40000153;117.0000029
6;1966;56.29999924;150
7;1966;66.5;152.9999971
8;1966;82.90000153;141.0000086
